Cell Sample,Discharge Time,Charge Time
1,7025s/ 1h57m,7034s/ 1h57m
2,8031s / 2h14m,7879s/ 2h11m
3,7590s/ 1h7m,7587s/ 1h6m
4,,
5,,
6,,
